cod_cli,rag_soc,cod_prov
22846,CLIENTE 22846,PN
22887,CLIENTE 22887,PN
22998,CLIENTE 22998,PN
22999,CLIENTE 22999,PN
23001,CLIENTE 23001,TV
23005,CLIENTE 23005,PN
23013,CLIENTE 23013,PN
23015,CLIENTE 23015,PN
23055,CLIENTE 23055,PN
23100,CLIENTE 23100,PN
23101,CLIENTE 23101,MI
23120,CLIENTE 23120,PN
23130,CLIENTE 23130,PN
23396,CLIENTE 23396,PN
23397,CLIENTE 23397,PN
23601,CLIENTE 23601,PN
23625,CLIENTE 23625,PN
23627,CLIENTE 23627,PN
23628,CLIENTE 23628,UD
23633,CLIENTE 23633,TV
23638,CLIENTE 23638,PN
23697,CLIENTE 23697,TV
23698,CLIENTE 23698,PN
23965,CLIENTE 23965,PN
23968,CLIENTE 23968,PN
23997,CLIENTE 23997,PN
24002,CLIENTE 24002,PN
24010,CLIENTE 24010,PN
24025,CLIENTE 24025,PN
24026,CLIENTE 24026,PN
24521,CLIENTE 24521,PN
24567,CLIENTE 24567,PN
24757,CLIENTE 24757,PN
25001,CLIENTE 25001,PN
25009,CLIENTE 25009,PN
25012,CLIENTE 25012,PN
25017,CLIENTE 25017,PN
25020,CLIENTE 25020,PN
25024,CLIENTE 25024,PN
25026,CLIENTE 25026,PN
25029,CLIENTE 25029,PN
25033,CLIENTE 25033,PN
25035,CLIENTE 25035,PN
25038,CLIENTE 25038,PN
25040,CLIENTE 25040,PN
25046,CLIENTE 25046,PN
25054,CLIENTE 25054,PN
25056,CLIENTE 25056,PN
25070,CLIENTE 25070,PN
25106,CLIENTE 25106,PN
25140,CLIENTE 25140,PN
25142,CLIENTE 25142,PN
25201,CLIENTE 25201,PN
25219,CLIENTE 25219,PN
25230,CLIENTE 25230,PN
25234,CLIENTE 25234,PN
25272,CLIENTE 25272,PN
25278,CLIENTE 25278,PN
25308,CLIENTE 25308,PN
25310,CLIENTE 25310,PN
25312,CLIENTE 25312,PN
25328,CLIENTE 25328,PN
25335,CLIENTE 25335,TV
25338,CLIENTE 25338,PN
25340,CLIENTE 25340,PN
25345,CLIENTE 25345,TS
25436,CLIENTE 25436,PN
25441,CLIENTE 25441,PN
25443,CLIENTE 25443,PN
25445,CLIENTE 25445,PN
25447,CLIENTE 25447,PN
25461,CLIENTE 25461,PN
25466,CLIENTE 25466,PN
25469,CLIENTE 25469,PN
25484,CLIENTE 25484,PN
25486,CLIENTE 25486,PN
25487,CLIENTE 25487,TV
25530,CLIENTE 25530,PN
25536,CLIENTE 25536,PN
25543,CLIENTE 25543,PN
25544,CLIENTE 25544,TV
25551,CLIENTE 25551,TV
25555,CLIENTE 25555,PN
25556,CLIENTE 25556,PN
25599,CLIENTE 25599,PN
25605,CLIENTE 25605,PN
25608,CLIENTE 25608,PN
25617,CLIENTE 25617,PN
25648,CLIENTE 25648,PN
25659,CLIENTE 25659,PN
25666,CLIENTE 25666,PN
25668,CLIENTE 25668,PN
25701,CLIENTE 25701,TV
25713,CLIENTE 25713,PN
25716,CLIENTE 25716,PN
25718,CLIENTE 25718,PN
25748,CLIENTE 25748,PN
25754,CLIENTE 25754,PN
25764,CLIENTE 25764,TV
25765,CLIENTE 25765,PN
25767,CLIENTE 25767,PN
25836,CLIENTE 25836,PN
25840,CLIENTE 25840,PN
25894,CLIENTE 25894,PN
25974,CLIENTE 25974,PN
25986,CLIENTE 25986,PN
25991,CLIENTE 25991,PN
26003,CLIENTE 26003,PN
26026,CLIENTE 26026,PN
26221,CLIENTE 26221,PN
26321,CLIENTE 26321,PN
26394,CLIENTE 26394,PN
26405,CLIENTE 26405,PN
26650,CLIENTE 26650,PN
26651,CLIENTE 26651,PN
26771,CLIENTE 26771,PN
26852,CLIENTE 26852,PN
26874,CLIENTE 26874,PN
26956,CLIENTE 26956,PN
26962,CLIENTE 26962,TV
27003,CLIENTE 27003,PN
27004,CLIENTE 27004,PN
27005,CLIENTE 27005,PN
27104,CLIENTE 27104,PN
27108,CLIENTE 27108,PN
27258,CLIENTE 27258,VI
27276,CLIENTE 27276,PN
27278,CLIENTE 27278,PN
27280,CLIENTE 27280,TV
27305,CLIENTE 27305,TV
27400,CLIENTE 27400,PN
27418,CLIENTE 27418,PN
27432,CLIENTE 27432,PN
27438,CLIENTE 27438,PN
27445,CLIENTE 27445,PN
27446,CLIENTE 27446,PN
27460,CLIENTE 27460,PN
27468,CLIENTE 27468,PN
27597,CLIENTE 27597,PN
27621,CLIENTE 27621,PN
27623,CLIENTE 27623,PN
27632,CLIENTE 27632,PN
27650,CLIENTE 27650,PN
27671,CLIENTE 27671,PN
27809,CLIENTE 27809,UD
27810,CLIENTE 27810,PN
27830,CLIENTE 27830,PN
27985,CLIENTE 27985,VE
27987,CLIENTE 27987,PN
28003,CLIENTE 28003,VE
28004,CLIENTE 28004,PN
28010,CLIENTE 28010,PN
28025,CLIENTE 28025,PN
28028,CLIENTE 28028,PN
28030,CLIENTE 28030,PN
28031,CLIENTE 28031,PN
28033,CLIENTE 28033,PN
28036,CLIENTE 28036,PN
28037,CLIENTE 28037,PN
